comune,pro_com,provincia,data_inizio,data_fine,link_ordinanza,nro_data_ordinanza,proroga/cessa,PDF,nro_pgg,sovrapposizione,cessa,nro_ordinanza,data_ordinanza,area_kmq,pop_2020,note,zona
Gela,85007,Caltanissetta,2021-01-13,2021-01-31,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-9-12012021.pdf,09-12012021,No,Immagine,7,,,09,2021-01-12,279.22,74075,,rossa
Villarosa,86020,Enna,2021-01-13,2021-01-31,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-9-12012021.pdf,09-12012021,No,Immagine,7,,,09,2021-01-12,54.89,4646,,rossa
Tortorici,83099,Messina,2021-02-05,2021-02-15,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/ordinanza-12-03022021.pdf,12-03022021,No,Immagine,6,,,12,2021-02-03,70.5,6045,,rossa
San Cipirello,82063,Palermo,2021-02-25,2021-03-11,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2015%20del%2023%20febbraio%202021.pdf,15-23022021,No,Immagine,6,,,15,2021-02-23,20.85,5212,,rossa
San Giuseppe Jato,82064,Palermo,2021-02-25,2021-03-11,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2015%20del%2023%20febbraio%202021.pdf,15-23022021,No,Immagine,6,,,15,2021-02-23,29.78,8375,,rossa
Riesi,85015,Caltanissetta,2021-03-06,2021-03-22,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/ordinanza-18-04032021.pdf,18-04032021,No,Immagine,14,,,18,2021-03-04,67,11110,Ordinanza n.18 e ordinanza n.19 del 2021-03-04,rossa
Altavilla Milicia,82004,Palermo,2021-03-12,2021-03-26,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2020%20del%2010%20marzo%202021.pdf,20-10032021,No,Immagine,7,,,20,2021-03-10,23.78,8376,,rossa
Montedoro,85011,Caltanissetta,2021-03-12,2021-03-26,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2020%20del%2010%20marzo%202021.pdf,20-10032021,No,Immagine,7,,,20,2021-03-10,14.53,1462,,rossa
Portopalo di Capo Passero,89020,Siracusa,2021-03-12,2021-03-26,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2020%20del%2010%20marzo%202021.pdf,20-10032021,No,Immagine,7,,,20,2021-03-10,15.09,3867,,rossa
Raffadali,84030,Agrigento,2021-03-12,2021-03-26,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2020%20del%2010%20marzo%202021.pdf,20-10032021,No,Immagine,7,,,20,2021-03-10,22.3,12550,,rossa
San Mauro Castelverde,82065,Palermo,2021-03-12,2021-03-26,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2020%20del%2010%20marzo%202021.pdf,20-10032021,No,Immagine,7,,,20,2021-03-10,114.37,1470,,rossa
Caltanissetta,85004,Caltanissetta,2021-03-16,2021-03-30,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-21-15032021.pdf,21-15032021,No,Immagine,7,,,21,2021-03-15,421.25,61331,,rossa
Caltavuturo,82015,Palermo,2021-03-16,2021-03-30,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-21-15032021.pdf,21-15032021,No,Immagine,7,,,21,2021-03-15,97.95,3768,,rossa
Scicli,88011,Ragusa,2021-03-16,2021-03-30,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-21-15032021.pdf,21-15032021,No,Immagine,7,,,21,2021-03-15,138.72,26837,,rossa
Palma di Montechiaro,84027,Agrigento,2021-03-16,2021-03-30,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-21-15032021.pdf,21-15032021,No,Immagine,7,,,21,2021-03-15,77.06,22262,,rossa
Regalbuto,86016,Enna,2021-03-18,2021-03-30,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-22-16032021.pdf,22-16032021,No,Testo,7,,,22,2021-03-16,170.29,6993,,rossa
Sciacca,84041,Agrigento,2021-03-18,2021-03-30,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-22-16032021.pdf,22-16032021,No,Testo,7,,,22,2021-03-16,191.67,40068,,rossa
Ribera,84033,Agrigento,2021-03-25,2021-04-06,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2024%20del%2023-03-2021pdf(firmato).pdf,24-23032021,No,Testo,8,,,24,2021-03-23,118.52,18492,,rossa
Santa Maria di Licodia,87047,Catania,2021-03-25,2021-04-06,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2024%20del%2023-03-2021pdf(firmato).pdf,24-23032021,No,Testo,8,,,24,2021-03-23,26.28,7581,,rossa
Serradifalco,85018,Caltanissetta,2021-03-25,2021-04-06,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2024%20del%2023-03-2021pdf(firmato).pdf,24-23032021,No,Testo,8,,,24,2021-03-23,41.94,5792,,rossa
Trabia,82073,Palermo,2021-03-25,2021-04-06,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2024%20del%2023-03-2021pdf(firmato).pdf,24-23032021,No,Testo,8,,,24,2021-03-23,22.08,10396,,rossa
Acate,88001,Ragusa,2021-03-26,2021-04-06,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2025%20del%2024%20marzo%202021(firmato).pdf,25-24032021,No,Testo,7,,,25,2021-03-24,102.47,11486,,rossa
Centuripe,86007,Enna,2021-03-27,2021-04-06,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-26-26032021.pdf,26-26032021,No,Testo,8,,,26,2021-03-26,174.19,5272,,rossa
Comitini,84016,Agrigento,2021-03-27,2021-04-06,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-26-26032021.pdf,26-26032021,No,Testo,8,,,26,2021-03-26,21.89,896,,rossa
Racalmuto,84029,Agrigento,2021-03-27,2021-04-06,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-26-26032021.pdf,26-26032021,No,Testo,8,,,26,2021-03-26,68.1,7943,,rossa
Siculiana,84042,Agrigento,2021-03-27,2021-04-06,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-26-26032021.pdf,26-26032021,No,Testo,8,,,26,2021-03-26,40.99,4313,,rossa
Caltavuturo,82015,Palermo,2021-03-30,2021-04-06,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-26-26032021.pdf,26-26032021,Sì,Testo,8,,,26,2021-03-26,97.95,3768,,rossa
San Mauro Castelverde,82065,Palermo,2021-03-26,2021-04-06,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-26-26032021.pdf,26-26032021,Sì,Testo,8,,,26,2021-03-26,114.37,1470,,rossa
Biancavilla,87008,Catania,2021-03-31,2021-04-14,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/ordinanza-27-29032021.pdf,27-29032021,No,Immagine,7,41-14042022,,27,2021-03-29,70.28,23668,,rossa
Francavilla di Sicilia,83025,Messina,2021-03-31,2021-04-14,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/ordinanza-27-29032021.pdf,27-29032021,No,Immagine,7,41-14042022,,27,2021-03-29,82.73,3725,,rossa
Gaggi,83029,Messina,2021-03-31,2021-04-14,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/ordinanza-27-29032021.pdf,27-29032021,No,Immagine,7,,,27,2021-03-29,7.65,3181,,rossa
Santa Margherita di Belice,84038,Agrigento,2021-03-31,2021-04-14,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/ordinanza-27-29032021.pdf,27-29032021,No,Immagine,7,,,27,2021-03-29,67.28,6257,,rossa
Caltanissetta,85004,Caltanissetta,2021-03-30,2021-04-06,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/ordinanza-27-29032021.pdf,27-29032021,Sì,Immagine,7,,,27,2021-03-29,421.25,61331,,rossa
Porto Empedocle,84028,Agrigento,2021-04-01,2021-04-14,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-28-30032021.pdf,28-30032021,No,Testo,7,,,28,2021-03-30,25.23,16300,,rossa
Ventimiglia di Sicilia,82077,Palermo,2021-04-01,2021-04-14,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-28-30032021.pdf,28-30032021,No,Testo,7,38-09042021,,28,2021-03-30,26.9,1869,,rossa
Palma di Montechiaro,84027,Agrigento,2021-03-30,2021-04-06,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-28-30032021.pdf,28-30032021,Sì,Testo,7,,,28,2021-03-30,77.06,22262,,rossa
Regalbuto,86016,Enna,2021-03-30,2021-04-06,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-28-30032021.pdf,28-30032021,Sì,Testo,7,,,28,2021-03-30,170.29,6993,,rossa
Scicli,88011,Ragusa,2021-03-30,2021-04-06,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-28-30032021.pdf,28-30032021,Sì,Testo,7,,,28,2021-03-30,138.72,26837,,rossa
Borgetto,82013,Palermo,2021-04-02,2021-04-14,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-29-31032021.pdf,29-31032021,No,Immagine,8,38-09042021,,29,2021-03-31,26.02,7338,,rossa
Ciminna,82030,Palermo,2021-04-02,2021-04-14,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-29-31032021.pdf,29-31032021,No,Immagine,8,38-09042021,,29,2021-03-31,56.42,3560,,rossa
Lampedusa e Linosa,84020,Agrigento,2021-04-02,2021-04-14,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-29-31032021.pdf,29-31032021,No,Immagine,8,41-14042022,,29,2021-03-31,25.22,6494,,rossa
Mezzojuso,82047,Palermo,2021-04-02,2021-04-14,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-29-31032021.pdf,29-31032021,No,Immagine,8,38-09042021,,29,2021-03-31,49.25,2797,,rossa
Partinico,82054,Palermo,2021-04-02,2021-04-14,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-29-31032021.pdf,29-31032021,No,Immagine,8,38-09042021,,29,2021-03-31,108.06,31569,,rossa
Priolo Gargallo,89021,Siracusa,2021-04-02,2021-04-08,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-29-31032021.pdf,29-31032021,No,Immagine,8,,37-09042021,29,2021-03-31,56.96,11687,,rossa
Mazzarino,85009,Caltanissetta,2021-04-03,2021-04-14,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-30-01042021.pdf,30-01042021,No,Testo,7,41-14042022,,30,2021-04-01,295.59,11445,,rossa
Montallegro,84024,Agrigento,2021-04-04,2021-04-14,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-31-02042021.pdf,31-02042021,No,Testo,7,,,31,2021-04-02,27.41,2484,,rossa
Pietraperzia,86015,Enna,2021-04-04,2021-04-14,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-31-02042021.pdf,31-02042021,No,Testo,7,41-14042022,,31,2021-04-02,118.11,6631,,rossa
Sommatino,85019,Caltanissetta,2021-04-04,2021-04-14,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-31-02042021.pdf,31-02042021,No,Testo,7,,,31,2021-04-02,34.76,6672,,rossa
Buscemi,89004,Siracusa,2021-04-04,2021-04-08,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-32-03042021.pdf,32-03042021,No,Testo,7,,37-09042021,32,2021-04-03,52.05,995,,rossa
Moio Alcantara,83053,Messina,2021-04-04,2021-04-14,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-32-03042021.pdf,32-03042021,No,Testo,7,,,32,2021-04-03,8.6,687,,rossa
Rosolini,89016,Siracusa,2021-04-04,2021-04-14,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-32-03042021.pdf,32-03042021,No,Testo,7,40-13042021,,32,2021-04-03,76.47,21122,,rossa
Solarino,89018,Siracusa,2021-04-04,2021-04-14,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-32-03042021.pdf,32-03042021,No,Testo,7,40-13042021,,32,2021-04-03,13.02,7885,,rossa
Caltanissetta,85004,Caltanissetta,2021-04-06,2021-04-14,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/re295.pdf,33-06042021,Sì,Immagine,7,41-14042022,,33,2021-04-06,421.25,61331,,rossa
Caltavuturo,82015,Palermo,2021-04-06,2021-04-14,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/re295.pdf,33-06042021,Sì,Immagine,7,38-09042021,,33,2021-04-06,97.95,3768,,rossa
Palma di Montechiaro,84027,Agrigento,2021-04-06,2021-04-14,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/re295.pdf,33-06042021,Sì,Immagine,7,,,33,2021-04-06,77.06,22262,,rossa
Scicli,88011,Ragusa,2021-04-06,2021-04-14,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/re295.pdf,33-06042021,Sì,Immagine,7,,,33,2021-04-06,138.72,26837,,rossa
Palermo,82053,Palermo,2021-04-06,2021-04-14,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/re294.pdf,34-06042021,No,Immagine,6,38-09042021,,34,2021-04-06,160.59,657960,,rossa
Acquaviva Platani,85001,Caltanissetta,2021-04-08,2021-04-22,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2035%20del%2006-04-2021(firmato).pdf,35-06042021,No,Testo,7,,,35,2021-04-06,14.63,918,,rossa
Alessandria della Rocca,84002,Agrigento,2021-04-08,2021-04-22,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2035%20del%2006-04-2021(firmato).pdf,35-06042021,No,Testo,7,,,35,2021-04-06,62.24,2717,,rossa
Barcellona Pozzo di Gotto,83005,Messina,2021-04-08,2021-04-22,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2035%20del%2006-04-2021(firmato).pdf,35-06042021,No,Testo,7,,,35,2021-04-06,59.14,41004,,rossa
Calascibetta,86005,Enna,2021-04-08,2021-04-22,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2035%20del%2006-04-2021(firmato).pdf,35-06042021,No,Testo,7,,,35,2021-04-06,89.12,4309,,rossa
Cattolica Eraclea,84014,Agrigento,2021-04-08,2021-04-22,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2035%20del%2006-04-2021(firmato).pdf,35-06042021,No,Testo,7,,,35,2021-04-06,62.16,3491,,rossa
Acate,88001,Ragusa,2021-04-06,2021-04-14,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2035%20del%2006-04-2021(firmato).pdf,35-06042021,Sì,Testo,7,,,35,2021-04-06,102.47,11486,,rossa
Centuripe,86007,Enna,2021-04-06,2021-04-14,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2035%20del%2006-04-2021(firmato).pdf,35-06042021,Sì,Testo,7,41-14042022,,35,2021-04-06,174.19,5272,,rossa
Regalbuto,86016,Enna,2021-04-06,2021-04-14,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2035%20del%2006-04-2021(firmato).pdf,35-06042021,Sì,Testo,7,41-14042022,,35,2021-04-06,170.29,6993,,rossa
Godrano,82040,Palermo,2021-04-09,2021-04-22,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2036%20del%2007-04-2021.pdf,36-07042021,No,Immagine,7,38-09042021,,36,2021-04-07,39.2,1122,,rossa
Santa Croce Camerina,88010,Ragusa,2021-04-09,2021-04-22,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2036%20del%2007-04-2021.pdf,36-07042021,No,Immagine,7,,,36,2021-04-07,41.09,11030,,rossa
Ribera,84033,Agrigento,2021-04-09,2021-04-22,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2036%20del%2007-04-2021.pdf,36-07042021,No,Immagine,7,,,36,2021-04-07,118.52,18492,,rossa
Marsala,81011,Trapani,2021-04-11,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2037%20del%209%20aprile%202021.pdf,37-09042021,No,Immagine,7,,,37,2021-04-09,243.26,82456,,rossa
San Cataldo,85016,Caltanissetta,2021-04-11,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2037%20del%209%20aprile%202021.pdf,37-09042021,No,Immagine,7,,,37,2021-04-09,72.77,21859,,rossa
Priolo Gargallo,89021,Siracusa,2021-04-02,2021-04-08,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2037%20del%209%20aprile%202021.pdf,37-09042021,Sì,Immagine,7,,37-09042021,37,2021-04-09,56.96,11687,,rossa
Buscemi,89004,Siracusa,2021-04-04,2021-04-08,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2037%20del%209%20aprile%202021.pdf,37-09042021,Sì,Immagine,7,,37-09042021,37,2021-04-09,52.05,995,,rossa
Isola delle Femmine,82043,Palermo,2021-04-11,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,38-09042021,No,Immagine,6,,,38,2021-04-09,3.57,7099,,rossa
Isnello,82042,Palermo,2021-04-11,2021-04-22,https://pti.regione.sicilia.it/portal/pls/portal/docs/152934474.PDF,38-09042021,No,Immagine,6,,,38,2021-04-09,51,1418,,rossa
Chiusa Sclafani,82029,Palermo,2021-04-11,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,38-09042021,No,Immagine,6,,,38,2021-04-09,57.55,2682,,rossa
Lascari,82044,Palermo,2021-04-11,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,38-09042021,No,Immagine,6,,,38,2021-04-09,10.33,3647,,rossa
Cefalù,82027,Palermo,2021-04-11,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,38-09042021,No,Immagine,6,,,38,2021-04-09,66.24,14155,,rossa
Gratteri,82041,Palermo,2021-04-11,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,38-09042021,No,Immagine,6,,,38,2021-04-09,38.17,905,,rossa
Castronovo di Sicilia,82025,Palermo,2021-04-11,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,38-09042021,No,Immagine,6,,,38,2021-04-09,201.04,2944,,rossa
Bolognetta,82011,Palermo,2021-04-11,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,38-09042021,No,Immagine,6,,,38,2021-04-09,27.63,4138,,rossa
Carini,82021,Palermo,2021-04-11,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,38-09042021,No,Immagine,6,,,38,2021-04-09,76.59,39185,,rossa
